Time,Feedback
"Instant { tv_sec: 1774670, tv_nsec: 721908197 }",-1.3560001
"Instant { tv_sec: 1774670, tv_nsec: 721984878 }",-1.2670001
"Instant { tv_sec: 1774670, tv_nsec: 737808573 }",-1.422
"Instant { tv_sec: 1774670, tv_nsec: 753665980 }",-1.463
"Instant { tv_sec: 1774670, tv_nsec: 753814666 }",-1.5100001
"Instant { tv_sec: 1774670, tv_nsec: 769386912 }",-1.205
"Instant { tv_sec: 1774670, tv_nsec: 769543449 }",-1.365
"Instant { tv_sec: 1774670, tv_nsec: 785981931 }",-1.4070001
"Instant { tv_sec: 1774670, tv_nsec: 786115574 }",-1.429
"Instant { tv_sec: 1774670, tv_nsec: 786186773 }",-1.3260001
"Instant { tv_sec: 1774670, tv_nsec: 801803579 }",-1.2
"Instant { tv_sec: 1774670, tv_nsec: 801936399 }",-1.4810001
"Instant { tv_sec: 1774670, tv_nsec: 817874716 }",-1.5230001
"Instant { tv_sec: 1774670, tv_nsec: 833827671 }",-1.363
"Instant { tv_sec: 1774670, tv_nsec: 833997809 }",-1.1830001
"Instant { tv_sec: 1774670, tv_nsec: 834073504 }",-1.299
"Instant { tv_sec: 1774670, tv_nsec: 849924968 }",-1.5040001
"Instant { tv_sec: 1774670, tv_nsec: 850075835 }",-1.5020001
"Instant { tv_sec: 1774670, tv_nsec: 865701928 }",-1.3540001
"Instant { tv_sec: 1774670, tv_nsec: 865872710 }",-1.327
"Instant { tv_sec: 1774670, tv_nsec: 882011618 }",-1.3280001
"Instant { tv_sec: 1774670, tv_nsec: 897814213 }",-1.4020001
"Instant { tv_sec: 1774670, tv_nsec: 897958522 }",-1.429
"Instant { tv_sec: 1774670, tv_nsec: 898033073 }",-1.488
"Instant { tv_sec: 1774670, tv_nsec: 929895752 }",-1.5410001
"Instant { tv_sec: 1774670, tv_nsec: 930034015 }",-1.4430001
"Instant { tv_sec: 1774670, tv_nsec: 945821173 }",-1.34
"Instant { tv_sec: 1774670, tv_nsec: 945970791 }",-1.358
"Instant { tv_sec: 1774670, tv_nsec: 946080253 }",-1.496
"Instant { tv_sec: 1774670, tv_nsec: 961635334 }",-1.4020001
"Instant { tv_sec: 1774670, tv_nsec: 977819978 }",-1.5040001
"Instant { tv_sec: 1774670, tv_nsec: 993897340 }",-1.139
"Instant { tv_sec: 1774670, tv_nsec: 994080605 }",-1.4790001
"Instant { tv_sec: 1774671, tv_nsec: 9310275 }",-1.3850001
"Instant { tv_sec: 1774671, tv_nsec: 9456639 }",-1.4660001
"Instant { tv_sec: 1774671, tv_nsec: 9530404 }",-0.74300003
"Instant { tv_sec: 1774671, tv_nsec: 25886521 }",-1.5400001
"Instant { tv_sec: 1774671, tv_nsec: 41866230 }",-0.924
"Instant { tv_sec: 1774671, tv_nsec: 42052709 }",-1.5200001
"Instant { tv_sec: 1774671, tv_nsec: 57752732 }",-1.5150001
"Instant { tv_sec: 1774671, tv_nsec: 57892080 }",-1.4560001
"Instant { tv_sec: 1774671, tv_nsec: 73899012 }",-1.3770001
"Instant { tv_sec: 1774671, tv_nsec: 89903109 }",-1.422
"Instant { tv_sec: 1774671, tv_nsec: 90050197 }",-1.3670001
"Instant { tv_sec: 1774671, tv_nsec: 105897772 }",-1.4580001
"Instant { tv_sec: 1774671, tv_nsec: 106120064 }",-1.228
"Instant { tv_sec: 1774671, tv_nsec: 106200667 }",-1.35
"Instant { tv_sec: 1774671, tv_nsec: 121697602 }",-1.5450001
"Instant { tv_sec: 1774671, tv_nsec: 137869128 }",-1.0270001
"Instant { tv_sec: 1774671, tv_nsec: 138017770 }",-1.3700001
"Instant { tv_sec: 1774671, tv_nsec: 138093759 }",-1.4590001
"Instant { tv_sec: 1774671, tv_nsec: 153959832 }",-1.335
"Instant { tv_sec: 1774671, tv_nsec: 169871833 }",-1.5050001
"Instant { tv_sec: 1774671, tv_nsec: 170041280 }",-1.4300001
"Instant { tv_sec: 1774671, tv_nsec: 185505453 }",-1.506
"Instant { tv_sec: 1774671, tv_nsec: 185652585 }",-1.4280001
"Instant { tv_sec: 1774671, tv_nsec: 185764132 }",-1.4760001
"Instant { tv_sec: 1774671, tv_nsec: 201212573 }",-1.0380001
"Instant { tv_sec: 1774671, tv_nsec: 201256467 }",-1.468
"Instant { tv_sec: 1774671, tv_nsec: 201270850 }",-1.2520001
"Instant { tv_sec: 1774671, tv_nsec: 217306579 }",-1.549
"Instant { tv_sec: 1774671, tv_nsec: 217355594 }",-1.2290001
"Instant { tv_sec: 1774671, tv_nsec: 233391467 }",-1.3160001
"Instant { tv_sec: 1774671, tv_nsec: 233446917 }",-1.4050001
"Instant { tv_sec: 1774671, tv_nsec: 249650096 }",-1.4180001
"Instant { tv_sec: 1774671, tv_nsec: 249736604 }",-1.2650001
"Instant { tv_sec: 1774671, tv_nsec: 265355894 }",-1.371
"Instant { tv_sec: 1774671, tv_nsec: 265504549 }",-1.065
"Instant { tv_sec: 1774671, tv_nsec: 265614457 }",-1.488
"Instant { tv_sec: 1774671, tv_nsec: 281899818 }",-1.383
"Instant { tv_sec: 1774671, tv_nsec: 282034223 }",-1.393
"Instant { tv_sec: 1774671, tv_nsec: 313356087 }",-1.519
"Instant { tv_sec: 1774671, tv_nsec: 313508020 }",-1.34
"Instant { tv_sec: 1774671, tv_nsec: 313583233 }",-1.299
"Instant { tv_sec: 1774671, tv_nsec: 329519392 }",-1.2
"Instant { tv_sec: 1774671, tv_nsec: 345725673 }",-1.417
"Instant { tv_sec: 1774671, tv_nsec: 345870561 }",-1.3080001
"Instant { tv_sec: 1774671, tv_nsec: 345948378 }",-1.493
"Instant { tv_sec: 1774671, tv_nsec: 361745145 }",-1.0220001
"Instant { tv_sec: 1774671, tv_nsec: 361930507 }",-1.5220001
"Instant { tv_sec: 1774671, tv_nsec: 377855723 }",-1.3010001
"Instant { tv_sec: 1774671, tv_nsec: 378002907 }",-1.3670001
"Instant { tv_sec: 1774671, tv_nsec: 393603635 }",-1.4970001
"Instant { tv_sec: 1774671, tv_nsec: 393752549 }",-0.97
"Instant { tv_sec: 1774671, tv_nsec: 409456510 }",-1.427
"Instant { tv_sec: 1774671, tv_nsec: 409647003 }",-0.91600007
"Instant { tv_sec: 1774671, tv_nsec: 425865176 }",-1.353
"Instant { tv_sec: 1774671, tv_nsec: 426037589 }",-1.5150001
"Instant { tv_sec: 1774671, tv_nsec: 441901036 }",-1.491
"Instant { tv_sec: 1774671, tv_nsec: 442034083 }",-1.4590001
"Instant { tv_sec: 1774671, tv_nsec: 473671570 }",-0.588
"Instant { tv_sec: 1774671, tv_nsec: 489861541 }",-1.394
"Instant { tv_sec: 1774671, tv_nsec: 490008060 }",-1.2770001
"Instant { tv_sec: 1774671, tv_nsec: 490087036 }",-1.4250001
"Instant { tv_sec: 1774671, tv_nsec: 521645611 }",-1.159
"Instant { tv_sec: 1774671, tv_nsec: 521829226 }",-1.493
"Instant { tv_sec: 1774671, tv_nsec: 537611495 }",-1.4210001
"Instant { tv_sec: 1774671, tv_nsec: 537758275 }",-1.1270001
"Instant { tv_sec: 1774671, tv_nsec: 553405232 }",-1.447
"Instant { tv_sec: 1774671, tv_nsec: 569607352 }",-1.222
"Instant { tv_sec: 1774671, tv_nsec: 569754419 }",-1.3490001
"Instant { tv_sec: 1774671, tv_nsec: 585858039 }",-1.3800001
"Instant { tv_sec: 1774671, tv_nsec: 586006040 }",-1.365
"Instant { tv_sec: 1774671, tv_nsec: 601919331 }",-1.241
"Instant { tv_sec: 1774671, tv_nsec: 617728347 }",-0.9480001
"Instant { tv_sec: 1774671, tv_nsec: 617876461 }",-1.1450001
"Instant { tv_sec: 1774671, tv_nsec: 617951561 }",-1.059
"Instant { tv_sec: 1774671, tv_nsec: 633850615 }",-1.269
"Instant { tv_sec: 1774671, tv_nsec: 633996560 }",-1.47
"Instant { tv_sec: 1774671, tv_nsec: 634072564 }",-1.5480001
"Instant { tv_sec: 1774671, tv_nsec: 649441630 }",-1.0630001
"Instant { tv_sec: 1774671, tv_nsec: 649585878 }",-1.409
"Instant { tv_sec: 1774671, tv_nsec: 665775425 }",-1.253
"Instant { tv_sec: 1774671, tv_nsec: 665937092 }",-1.4280001
"Instant { tv_sec: 1774671, tv_nsec: 666012531 }",-0.85
"Instant { tv_sec: 1774671, tv_nsec: 681828352 }",-1.3510001
"Instant { tv_sec: 1774671, tv_nsec: 681977202 }",-1.309
"Instant { tv_sec: 1774671, tv_nsec: 713271605 }",-1.5100001
"Instant { tv_sec: 1774671, tv_nsec: 729551719 }",-0.99000007
"Instant { tv_sec: 1774671, tv_nsec: 745241395 }",-1.544
"Instant { tv_sec: 1774671, tv_nsec: 745373031 }",-1.5220001
"Instant { tv_sec: 1774671, tv_nsec: 745475874 }",-1.5400001
"Instant { tv_sec: 1774671, tv_nsec: 777190914 }",-1.4890001
"Instant { tv_sec: 1774671, tv_nsec: 777508442 }",-1.3670001
"Instant { tv_sec: 1774671, tv_nsec: 777652906 }",-1.4430001
"Instant { tv_sec: 1774671, tv_nsec: 793258552 }",-0.795
"Instant { tv_sec: 1774671, tv_nsec: 809213545 }",-1.2320001
"Instant { tv_sec: 1774671, tv_nsec: 809357015 }",-1.5130001
"Instant { tv_sec: 1774671, tv_nsec: 825159816 }",-1.3160001
"Instant { tv_sec: 1774671, tv_nsec: 825452985 }",-1.463
"Instant { tv_sec: 1774671, tv_nsec: 825598669 }",-1.4180001
"Instant { tv_sec: 1774671, tv_nsec: 825740952 }",-1.414
"Instant { tv_sec: 1774671, tv_nsec: 857085931 }",-0.96900004
"Instant { tv_sec: 1774671, tv_nsec: 857143132 }",-1.409
"Instant { tv_sec: 1774671, tv_nsec: 873201212 }",-1.144
"Instant { tv_sec: 1774671, tv_nsec: 873342931 }",-1.4080001
"Instant { tv_sec: 1774671, tv_nsec: 873414510 }",-1.223
"Instant { tv_sec: 1774671, tv_nsec: 889175438 }",-1.411
"Instant { tv_sec: 1774671, tv_nsec: 889321794 }",-1.3110001
"Instant { tv_sec: 1774671, tv_nsec: 905169006 }",-1.445
"Instant { tv_sec: 1774671, tv_nsec: 921080263 }",-1.256
"Instant { tv_sec: 1774671, tv_nsec: 921128683 }",-1.5250001
"Instant { tv_sec: 1774671, tv_nsec: 937090844 }",-1.184
"Instant { tv_sec: 1774671, tv_nsec: 953226595 }",-1.1470001
"Instant { tv_sec: 1774671, tv_nsec: 969274066 }",-1.317
"Instant { tv_sec: 1774671, tv_nsec: 985224503 }",-1.36
"Instant { tv_sec: 1774671, tv_nsec: 985368629 }",-1.2190001
"Instant { tv_sec: 1774671, tv_nsec: 985476099 }",-1.4380001
"Instant { tv_sec: 1774672, tv_nsec: 1538363 }",-1.4430001
"Instant { tv_sec: 1774672, tv_nsec: 1686802 }",-0.989
"Instant { tv_sec: 1774672, tv_nsec: 17257158 }",-1.3720001
"Instant { tv_sec: 1774672, tv_nsec: 17407732 }",-1.2290001
"Instant { tv_sec: 1774672, tv_nsec: 17481839 }",-1.3110001
"Instant { tv_sec: 1774672, tv_nsec: 33161623 }",-0.94400007
"Instant { tv_sec: 1774672, tv_nsec: 33346075 }",-1.4130001
